n1	t	n2
additionner	S4	somme N, fém 1
adieu 1	Syn	au revoir 1
admettre I.1	S0	admission I.1
admettre I.1	A2	admis
admettre I.1	Syn	accueillir II.1
administrer 2 I	S0	administration 2
administrer 2 I	Able2	administrable 2
administrer 2 I	S1	administrateur 2
admirer I	S0	admiration
admirer I	S1	admiratrice
admirer I	S1	admirateur
admirer I	A1	admiratif
admirer I	Able2	admirable
adolescent N	A1	adolescent Adj 1
adolescent N	Syn	adolescente
adolescent N	Syn	ado N, fém
adolescent N	A0	adolescent Adj 2
adolescent N	Syn	ado N, masc
adopter I	S0	adoption I
adopter I	Able2	adoptable 1
adopter I	A1	adoptant Adj
adopter I	S1	adoptant N
adopter I	S1	adoptante
adopter I	S2	adopté N
adopter I	S2	adoptée
adopter I	A1	adoptif 1
adopter I	A2	adoptif 2
adorable 1	Anti	détestable 1
adorer I	S0	adoration I
adorer I	A2	adoratif
adorer I	S1	adorateur I
adorer I	S1	adoratrice I
adresse 1 I	Syn	coordonnées II
adresser 2	Syn	envoyer I.2
adroit II	Anti	maladroit Adj II
adroit II	Adv0	adroitement II
adroit II	Syn	habile II
adulte Adj I	S1	adulte N, masc
adulte Adj I	S1	adulte N, fém
adulte Adj I	Syn	grand Adj II
adversaire N, masc I	A0	adverse
adversaire N, masc I	Syn	adversaire N, fém I
adversaire N, masc I	Syn	ennemi N I
adversité	A0	adverse
aéroport	A0	aéroportuaire
aéroport	Syn	aérodrome
aéroport	S2	avion I
affaiblir I	Conv-ij	s’affaiblir
affaiblir I	A1	affaiblissant
affaiblir I	Sres	faiblesse I
affaiblir I	A2	affaibli
affaiblir I	Syn	fragiliser
affaire I.1	Syn	histoire IV
affection I	V0	affectionner I
affection I	A1	affectueux
affection I	Adv1	avec I.3a
affection I	Adv1	affectueusement
affiche	AntiMagn	affichette
affiche	Real1	afficher I
afficher I	S0	affichage
afficher I	S1	afficheuse
afficher I	S1	afficheur
afficher I	A2	affiché
afficher I	S2	affiche
affirmer	S0	affirmation
affirmer	S1	affirmateur
affirmer	A1	affirmatif I
affirmer	Syn	assurer I
affirmer	Syn	garantir II
affirmer	Magn	sur l’honneur 1
affoler	A2	affolé
affoler	A1	affolant
affoler	Conv-ij	s’affoler
affoler	Syn	apeurer
affoler	Syn	effrayer 1
affreux I.2	Syn	moche Adj
affreux I.2	Syn	hideux
affront	Syn	injure 2
affronter I	S0	affrontement
agacer	A2	agacé
agacer	Able1	agaçant
agacer	Conv-ij	s’agacer
agacer	S0	agacement
agacer	Syn	énerver a
agacer	Syn	casser les pieds
agacer	Syn	courir sur le haricot
agacer	Syn	échauffer les oreilles
agacer	Syn	casser les oreilles II
âge I.a	A1	âgé 1
âge I.a	A1	âgé 2
âgé 1	Syn	vieux Adj I.1b
agent II	Contr	patient N II
aggraver	A1	aggravant
aggraver	S0	aggravation 2
agile	S0	agilité
agile	Adv0	agilement
agir I	A1	agissant
agiter I	Syn	secouer I.1
agneau I.1	Syn	agnelle
agneau I.1	S1	éleveur
agneau I.1	S1	éleveuse
agréable 1	Anti	désagréable I
agréable 1	Adv0	agréablement
agresser	S1	agresseur
agresser	S1	agresseuse
agresser	S2	agressé N
agresser	S2	agressée
agresser	A2	agressé Adj
agresser	Able1	agressif
agresser	S0	agression
agriculture	A0	agricole
agriculture	S1	agriculteur
agriculture	S1	agricultrice
Ah !	Syn	Oh !
Ah !	Syn	là III.2
aide N, fém I.1	V0	aider
aide N, fém I.1	S1	aide N, fém II
aide N, fém I.1	S1	aide N, masc
aider	S0	aide N, fém I.1
aider	A2	aidé
aider	S1	aide N, masc
aider	S1	aide N, fém II
aigu	Syn	strident
aigu	Anti	grave II
aiguille I.1	S1	couturier a
aiguille I.1	S1	couturière
aiguille I.1	Syn	épingle
ail II	S1	cultivateur
ail II	S1	cultivatrice
aile I.1a	A0	alaire
aile I.1a	Real1	battre 1 I.3a
aile I.1a	Real1	voler 1 I.1
aile I.1a	Real1	planer 1 I.1
aile I.1a	Real1	déployer
ailleurs 1	Syn	autre part 1
ailleurs 1	Syn	quelque part I.1
ailleurs 1	Syn	partout I
ailleurs 1	Syn	ici I.a
ailleurs 1	Syn	là I.1b
ailleurs 1	Syn	là-bas
ailleurs 1	Syn	loin I
ailleurs 1	Syn	près I.1
ailleurs 1	Syn	y 1
ailleurs 1	Contr	ici I.a
ailleurs 1	Contr	là I.1a
ailleurs 1	Anti	nulle part I.1
aimable	S0	amabilité
aimable	Adv0	aimablement
aimable	Syn	gentil Adj
aimer I.1	S0	amour I.1a
aimer I.1	A1	amoureux Adj I.1
aimer I.1	Adv1	amoureusement
aimer I.1	S1	amoureux N I
aimer I.1	S1	amoureuse I
aimer I.1	Sres	sexe II.2
aimer I.1	Epit	d’amour I
aimer I.1	Epit	physiquement 2
aîné Adj	Conv-ij	cadet Adj
aîné Adj	S0	aînesse
aîné Adj	S1	aîné N
aîné Adj	S1	aînée
aîné Adj	S2	cadette
aîné Adj	S2	puînée
aîné Adj	S2	puîné N
aîné Adj	S2	cadet N
air 1 I	A0	aérien 1
air 1 I	Bon	frais Adj II
air 1 I	Bon	pur Adj I.1
aire I	Syn	surface I.2
aire I	Syn	superficie
aisance I	Syn	aise
aisance I	Syn	facilité
ajouter II	S0	ajout II
ajuster I	S0	ajustement
ajuster I	Syn	adapter
ajuster I	Syn	arranger I.b
ajuster I	Able2	ajustable
alarme I	Syn	signal
album	Syn	recueil
alcool I.2	Syn	alcool I.1
alcoolique N, masc	Syn	alcoolique N, fém
alcoolique N, masc	Syn	alcoolo N, fém
alcoolique N, masc	Fact0	boire V I.2b
alcoolique N, masc	Syn	ivrogne N, masc
alcoolique N, masc	Syn	boit-sans-soif N, masc
alcoolique N, masc	Syn	meurt-de-soif
alcoolique N, masc	Syn	pochard
alcoolique N, masc	Syn	pochetron
alcoolique N, masc	Syn	poivrot
alcoolique N, masc	Syn	sac à vin
alcoolique N, masc	Syn	soiffard
alcoolique N, masc	Syn	saoulard
alcoolique N, masc	Magn	invétéré
alcoolique N, masc	Magn	chronique II
alcoolique N, masc	Syn	alcoolo N, masc
alerte I	Syn	alarme I
alerte I	Syn	signal
alerter I	Syn	alarmer
algue	Gener	plante 1
algue	Sloc	mer I.1
algue	Sloc	mer I.2
algue	Sloc	étendue d’eau
aliment I	Syn	alimentation II
alimentation I	V0	alimenter I
alimentation I	A0	alimentaire
aller N I	Anti	retour I
aller V I.1a	Syn	se rendre II
aller V I.1a	Syn	se déplacer I.2b
aller V I.1a	Syn	pousser VI
aller V I.1a	S0	aller N I
allergie I	A0	allergique I.1
allergie I	A1	allergique I.2
allergie I	Able2	allergène
allergie I	Able2	allergisant
allergie I	Oper1	souffrir 2
allumer I	S0	allumage
allumer I	A2	allumé I
allumer I	Anti	éteindre I
allumette I.1	Syn	briquet
allusion	A0	allusif
allusion	Adv0	allusivement
alors I	Syn	lors
alphabet	A0	alphabétique
alphabet	Adv0	alphabétiquement
alphabet	Sing	lettre I
altitude	Syn	hauteur I
amande	Sloc	amandier
amande	Gener	fruit I.2
amateur N	Syn	amatrice
amateur N	A1	amateur Adj I
amateur N	Syn	amoureux N II
amateur N	Syn	père III.2
ambiance	Syn	atmosphère II
ambiance	Func1	mettre III
ambigu 2	S0	ambiguïté 2
ambition	S1	ambitieuse
ambition	S1	ambitieux N
ambition	A1	ambitieux Adj I
ambulance	S1	ambulancière
ambulance	S1	ambulancier
âme I	Contr	corps I.1b
âme I	Syn	esprit I.1
âme I	Syn	cœur III.1
améliorer	S0	amélioration 2
améliorer	S3	amélioration 3
améliorer	Able2	améliorable
amener I	Syn	emmener
amer I	S0	amertume I
amer I	Anti	doux I
américain Adj II.1	S0	Amérique 2
américain Adj II.1	Syn	états-unien Adj I
amertume II	Syn	aigreur II
amertume II	Syn	rabat-joie N, masc II
ami N I.1	Anti	ennemi N I
ami N I.1	Syn	amie I.1
ami N I.1	A0	amical I.1
ami N I.1	Magn	bon Adj II.2
ami N I.1	Magn	grand Adj III.2
ami N I.1	Magn	vrai Adj III
ami N I.1	Magn	meilleur Adj II
ami N I.1	Magn	intime Adj II.1
ami N I.1	Magn	proche Adj III.1a
ami N I.1	Syn	copain 1
ami N I.1	Syn	pote N, masc
ami N I.1	Syn	connaissance III.2
ami N I.1	Magn	dévoué
ami N I.1	Magn	inséparable II
ami N I.1	Magn	vieux Adj II
ami N I.1	Magn	de longue date
ami N I.1	Magn	de toujours
ami N I.1	Ver	véritable II
ami N I.1	Ver	sincère II
ami N I.1	Ver	fidèle Adj I.a
ami N I.1	Ver	loyal
ami N I.1	Ver	fiable
ami N I.1	Ver	sûr II
ami N I.1	Oper1	être V IV.1
ami N I.1	Oper2	avoir V II
ami N I.1	Oper2	posséder II.1
ami N I.1	Oper2	se faire I
ami N I.1	Oper2	trouver II
ami N I.1	Oper2	se trouver II
ami N I.1	Oper1	devenir 2
ami N I.1	Labor21	avoir V II
ami N I.1	Oper2	perdre II.2
ami N I.1	Labor21	prendre II.2
ami N I.1	Magn	notre _N à tous
ami N I.1	A1	ami Adj I
ami N I.1	S0	amitié
amour I.1a	V0	aimer I.1
amour I.1a	Gener	sentiment 1a
amour I.1a	Mult	amours I.1b
amour I.1a	A0	d’amour I
amour I.1a	S2	amour II.1
amour I.1a	Syn	Vénus I
amoureux Adj I.1	Pred	devenir 2
amoureux Adj I.1	Pred	tomber V IV.2b
amoureux Adj I.1	Pred	s’amouracher
amoureux Adj I.1	S1	amoureux N I
amoureux Adj I.1	S1	amoureuse I
ampoule I.2	Epit	électrique a
amuser I	S0	amusement
amuser I	Able1	amusant
amuser I	A2	amusé
amuser I	Conv-ij	s’amuser II
an a	Syn	année 1a
analogie a	A0	analogique 1
analogie a	Syn	comparaison 1
analogie a	Syn	association I
analogie a	Syn	lien II.1
analogie a	Syn	relation I.1
analogie a	Syn	parallèle N, masc
analogie a	Syn	rapprochement II
analogie a	Syn	métaphore
analogie a	Magn	singulier Adj I
analogie a	Magn	saisissant
analogie a	Magn	évident
analogie a	Magn	remarquable
analogie a	AntiMagn	vague Adj I
analogie a	AntiVer	trompeur
analogie a	AntiVer	faux Adj I
analogie a	AntiVer	fallacieux
analogie a	AntiVer	douteux
analogie a	AntiVer	boiteux Adj II
analogie a	Instr	par II.1
analogie a	Func0	s’arrêter IV.1
analogie a	Func0	trouver I.2
analogie a	Func0	constater
analogie a	Func0	noter III
analogie a	Func2	exister I.1
analogie a	Syn	métaphore
analogie a	Syn	image III
analogie a	Syn	association d’idées
analogie a	Anti	différence 1
analogie a	Anti	contraste
analogie a	Anti	opposition II
analogie a	Anti	contradiction II
analogie a	S2	analogue N a
analogie a	S2	analogon
analogie a	Ver	pertinent
analogie a	Ver	intéressant
analogie a	Oper1	faire II.1
analogie a	Oper1	tracer II
analogie a	Oper1	établir III
analogie a	Oper2	offrir III
analogie a	Oper2	présenter III
analogie a	A2	analogue Adj a
analogie a	Syn	analogie b
analogie a	Syn	similarité
analyser 2	S1	analyseur 1
analyser 2	S1	analyste N, masc
analyser 2	S1	analyste N, fém
analyser 2	S2	analysant
ananas I	Gener	fruit I.2
ananas I	Sloc	ananas II
anarchie I	A0	anarchique 1
anarchie I	Func0	instaurer
ancien Adj II	Adv0	anciennement
ancien Adj II	Anti	prochain Adj III
ancien Adj II	Anti	nouveau Adj III
ancien Adj II	Syn	précédent Adj I.3
ancien Adj II	Syn	ex-
ancien Adj II	Contr	actuel
âne I	Syn	baudet
âne I	Syn	bourricot
âne I	Syn	bourriquet
âne I	Syn	bourrique
âne I	Syn	ânesse
âne I	Mult	cheptel
âne I	A0	asin
âne I	A0	asinien
âne I	Syn	mule
âne I	Son	braire I
âne I	Son	braiment I
âne I	Son	hi-han
âne I	Gener	animal N I.1a
âne I	Gener	ongulés
ange I	A0	angélique 1
ange I	Contr	démon
Anglais N I	Syn	Anglaise I
Anglais N I	Syn	Britannique N, masc
Anglais N I	Syn	Angliche N, masc I
angle I.1a	A0	angulaire
angoisse	V0	angoisser 2
angoisse	V0	s’angoisser
angoisse	S1	angoissé N
angoisse	S1	angoissée
angoisse	A1	saisi
angoisse	A1	en proie
angoisse	A1	angoissé Adj 1
angoisse	A2	angoissant 1
angoisse	Able1	angoissé Adj 2
angoisse	Able2	angoissant 2
angoisse	Syn	crainte 1
angoisse	Syn	peur 1a
angoisse	Syn	phobie 1
angoisse	Manif	se peindre
animal N I.1b	A0	animal Adj I
animal N I.1b	Contr	Homme 1b
animer I	S0	animation 1
animer I	A2	animé II
année 1a	Syn	an a
année 1a	Syn	année 2a
année 1a	Gener	période 1
année 1a	AntiBon	sans I.3b
anniversaire 1	Syn	fête I.2
annoncer I	S0	annonce I
annoncer I	Syn	notifier a
annuler	S0	annulation
annuler	Able2	annulable
annuler	Syn	casser V
annuler	Syn	invalider
anomalie	Syn	irrégularité
anonyme Adj I	S1	anonyme N, fém
anonyme Adj I	S1	anonyme N, masc
anonyme Adj I	Adv0	anonymement
anonyme Adj I	S0	anonymat
anormal Adj	Anti	normal I.1
anormal Adj	S0	anormalité
anormal Adj	Adv0	anormalement
antenne II.1	Syn	capteur
antenne II.1	Syn	récepteur N
antenne II.1	Syn	émetteur N II
antenne II.1	Epit	émetteur Adj II
antenne II.1	Epit	récepteur Adj
antenne II.1	Func0	poser II
antenne II.1	Func0	installer II.1
antenne II.1	Fact0	installateur
antenne II.1	Fact0	installatrice
antenne II.1	Real2	utiliser I.1
antenne II.1	Fact1	orienter I
antenne II.1	Fact0	capter
antenne II.1	Fact0	recevoir II
antenne II.1	Fact0	émettre II.3
antenne II.1	S1	radio 1 II
antenne II.1	S1	télévision II
antenne II.1	Labreal13	émettre II.3
antenne II.1	Labreal13	capter
antenne II.1	Prepar	déployer
anxiété	S1	anxieux N
anxiété	S1	anxieuse
anxiété	A1	anxieux Adj 1
anxiété	Able1	anxieux Adj 2
anxiété	Able2	anxiogène
anxiété	Adv1	anxieusement
anxiété	Manif	se peindre
août	Gener	mois b
apaiser 3	S0	apaisement 2
apaiser 3	A1	apaisant
apercevoir	Syn	voir I.1
apéritif N I	Syn	apéro I
apéritif N I	A0	apéritif Adj
apéritif N I	Gener	boisson I
apéritif N I	Gener	boisson alcoolisée
apparaître I.a	A1	visible
appareil I.1	Mult	appareillage
appareil I.1	Syn	machine 1
apparence I.2	Adv0	en Prép II.a
apparence I.2	Syn	figure humaine I
apparent III	Adv0	en apparence
apparent III	Adv0	apparemment 1
appartement 1	Gener	habitation II
appartement 1	Syn	meublé N
appartement 1	Syn	penthouse
appartement 1	Syn	garçonnière
appartement 1	Syn	studio 1
appartement 1	Syn	loft
appartement 1	Syn	duplex
appartement 1	Syn	triplex
appartement 1	Syn	quadruplex
appartement 1	Syn	une-pièce
appartement 1	Syn	F1
appartement 1	Syn	T1
appartement 1	Syn	deux-pièces 2
appartement 1	Syn	F2
appartement 1	Syn	T2
appartement 1	Syn	trois-pièces III
appartement 1	Syn	F3
appartement 1	Syn	T3
appartement 1	Syn	quatre-pièces
appartement 1	Syn	F4
appartement 1	Syn	T4
appartement 1	Syn	cinq-pièces
appartement 1	Syn	F5
appartement 1	Syn	T5
appartement 1	Syn	six-pièces
appartement 1	Syn	F6
appartement 1	Syn	T6
appartement 1	Syn	sept-pièces
appartement 1	Syn	F7
appartement 1	Syn	T7
appartement 1	Syn	huit-pièces
appartement 1	Syn	F8
appartement 1	Syn	T8
appartement 1	Syn	neuf-pièces
appartement 1	Syn	F9
appartement 1	Syn	T9
appartement 1	Syn	dix-pièces
appartement 1	Syn	F10
appartement 1	Syn	T10
appartement 1	Contr	maison I.1
appartement 1	Mult	immeuble N
appartement 1	Real1	habiter I
appartement 1	Real1	résider
appartement 1	Real1	vivre III.1
appartement 1	Real1	loger 1
appartement 1	Real1	occuper II
appartement 1	Real1	emménager
appartement 1	Real1	s’installer I
appartement 1	Real1	déménager I.1
appartement 1	S1	habitant 2
appartement 1	S1	habitante 2
appartement 1	S1	occupant N I
appartement 1	S1	occupante
appartement 1	Oper1	prendre II.1
appartement 1	A1	en Prép I
appartement 1	Real1	habité 2
appartement 1	Real1	occupé I.1
appartement 1	Real1	inhabité
appartement 1	Real1	inoccupé 1
appartement 1	Real1	vacant I
appartement 1	Real1	libre III.2
appartement 1	Real1	vide Adj II.2
appartement 1	Real1	disponible
appartement 1	Loc	à l’intérieur 1
appartement 1	Loc	dans I.1
appartement 1	Func2	comprendre II
appartement 1	Func2	se composer
appartement 1	Func2	avoir V I.2
appartement 1	Func2	comporter
appartement 1	Func2	compter II.1
appartement 1	AntiVer	témoin N, masc II.2
appartement 1	Syn	appart
appartement 1	Syn	clapier II
appartement 1	AntiMagn	clapier II
appartenir I	S0	appartenance I
appartenir I	Conv-ij	posséder I
appartenir I	A1	de I
appartenir I	Conv-ij	avoir V I.1
appartenir I	S1	propriété II.1
appartenir I	S1	possession II
appartenir I	S2	propriétaire N, masc
appartenir I	S2	propriétaire N, fém
appauvrir	A1	appauvrissant I
appauvrir	Conv-ij	s’appauvrir
appauvrir	A2	pauvre Adj I
appeler I.2	S0	appel I.2
appeler I.2	S3	téléphone I
appeler I.2	Syn	téléphoner
appétit	Qual2	appétissant
appétit	Qual2	alléchant
appétit	Syn	faim I.1a
appétit	Syn	coup de fourchette
appétit	Caus	exciter I.2
applaudir I	S0	applaudissements
applaudir I	Able2	applaudissable
appliquer I	S0	application I
appliquer I	Able2	applicable I
apporter I	Syn	amener I
apporter I	S0	apport I
apprécier I.2	S0	appréciation
apprendre I.2a	S0	apprentissage 1
apprendre I.2a	S1	apprenant
apprendre I.2a	S1	apprenante
apprendre I.2a	Syn	s’initer
apprendre I.2a	Conv-ij	apprendre I.2b
approcher II	Syn	avoisiner
approuver I	S0	approbation I
approuver I	Syn	adhérer II.1
approuver I	Anti	désapprouver I
approvisionner	S0	approvisionnement
approvisionner	S1	approvisionneur
approvisionner	S1	approvisionneuse
approvisionner	A2	approvisionné
appuyer I.1	Syn	presser II
après Prép I.1	Anti	avant Prép I.1
après-demain	Contr	avant-hier
araignée	A0	arachnéen
arbitre N, masc	Fact2	arbitrer
arbitre N, masc	Syn	arbitre N, fém
arbre	Mult	bois I
arbre	Mult	forêt I
arbre	Syn	arbuste
arbre	Syn	arbrisseau
arbre	Sing	branche I
arbre	Sing	tronc I
arbre	Sing	feuille I
arbre	Sing	feuillage
arbre	Sing	couronne II
arbre	AntiMagn	arbuste
arbre	AntiMagn	arbrisseau
arbre	Syn	buisson
argent II	Syn	fric
argent II	Syn	oseille II
argent II	Syn	finance I
arme	Mult	armement II
armée	S1	militaire N, masc
armée	S1	militaire N, fém
armer	Anti	désarmer
armer	S3	arme
armer	S3	armement II
armer	S0	armement I
armoire 1	Syn	bahut I
armoire 1	Syn	buffet I
armoire 1	Syn	placard 1 I
armoire 1	Gener	meuble N I.1b
armoire 1	Labreal12	mettre I.1a
armoire 1	Labreal12	ranger II.1
armoire 1	Labreal12	stocker I
armoire 1	Loc	dans I.1
armoire 1	Loc	à l’intérieur 1
armoire 1	Loc	fond IV.1
armoire 1	Labreal12	prendre I.1
armoire 1	Labreal12	sortir II.1a
armoire 1	Magn	grand Adj I.1
armoire 1	Magn	gros Adj III.2
armoire 1	Magn	armoire à glace I
armoire 1	Magn	armoire normande I
armoire 1	Fact0	plein Adj I.1
armoire 1	Fact0	rempli I
armoire 1	Fact0	vide Adj II.2
armoire 1	Fact0	libre I
armoire 1	Real1	remplir I.1
armoire 1	Real1	vider I.1
armoire 1	Real1	libérer II
armoire 1	2-II	pharmacie III
armoire 1	2-II	toilette I.1a
armoire 1	Syn	armoire à glace I
armoire 1	Syn	armoire normande I
armoire 1	Fact2	déborder II.2
arracher I.1	S0	arrachage 1
arracher I.1	S1	arracheur I
arracher I.1	Able2	arrachable
arracher I.1	S3	arracheuse
arranger I.a	Sres	arrangement I
arrêter I	Anti	démarrer I.2
arrêter I	Result2	s’arrêter I.1
arrêter I	S0	arrêt I.2
arrêter I	Syn	immobiliser
arrière N, masc I	Anti	avant N II
arrière N, masc I	A0	arrière Adj I
arriver I.1	S0	arrivée I.a
arriver I.1	S1	arrivant
arriver I.1	S1	arrivante
arriver I.1	Syn	atteindre IV.1
arriver I.1	Syn	parvenir I
arriver I.1	Syn	venir I.a
arriver I.1	Anti	quitter II.1a
arriver I.1	Contr	partir 1 I.1a
art I	A0	artistique
art I	Adv0	artistiquement
art I	S1	artiste N, masc
art I	S1	artiste N, fém
article I.3	S1	journaliste N, masc
article I.3	S1	journaliste N, fém
artificiel	Anti	naturel
artificiel	Adv0	artificiellement
ascenseur	Instr	en Prép IV.1
ascenseur	Instr	par I
asiatique Adj 1	S0	Asie
aspect II	Syn	visage II.2
aspirateur N I.1	Gener	appareil I.1
aspirateur N I.1	Gener	appareil électroménager
aspirateur N I.1	Magn	gros Adj III.2
aspirateur N I.1	Magn	puissant Adj II.1
aspirateur N I.1	Real1	passer VII.1
aspirateur N I.1	Fact2	aspirer 1 I.3c
aspirateur N I.1	Fact2	avaler III
aspirateur N I.1	Fact2	absorber II.2
aspirateur N I.1	Sing	brosse I.3
aspirateur N I.1	Sing	suceur
aspirateur N I.1	Sing	tuyau I.1
aspirateur N I.1	Sing	sac 2
aspirateur N I.1	Sing	fil II
aspirateur N I.1	Fact0	brancher
aspirateur N I.1	Fact0	allumer II.2
aspirateur N I.1	Fact0	éteindre II.2
aspirateur N I.1	Fact0	arrêter II
aspirateur N I.1	Fact0	débrancher I
aspirateur N I.1	S2	poussière 1
aspirateur N I.1	Labreal12	aspirer 1 I.3b
aspirateur N I.1	Son	vrombir
aspirateur N I.1	Son	vrombissement
aspirateur N I.1	Real1	coup II.2a
aspirateur N I.1	AntiMagn	compact II.1
aspirateur N I.1	AntiMagn	petit Adj I.1
aspirateur N I.1	AntiMagn	mini
aspirateur N I.1	AntiMagn	de poche
aspirateur N I.1	AntiMagn	à main
aspirateur N I.1	AntiMagn	aspirette
aspirateur N I.1	AntiMagn	de table 1
aspirateur N I.1	Fact3	nettoyer I.1b
aspirateur N I.1	Labreal13	nettoyer I.1a
aspirateur N I.1	Syn	aspi
aspirer 1 I.3c	S0	aspiration II
aspirer 1 I.3c	A3	aspiratif
aspirer 1 I.3c	A3	aspirant
aspirer 1 I.3c	Syn	absorber II.2
aspirer 1 I.3c	Syn	avaler III
assassiner	S0	assassinat
assassiner	S1	assassin N, masc
assassiner	S1	assassin N, fém
assassiner	Syn	abattre II.2
s’asseoir I.a	S2	chaise I
s’asseoir I.a	S2	fauteuil I
s’asseoir I.a	S2	siège I.1
assez I	Syn	suffisamment I
assiette 1 I.a	Mult	pile N 1 II
assiette 1 I.a	Syn	plat N I.2
assiette 1 I.a	Gener	pièce de vaisselle
assiette 1 I.a	AntiBon	cassé
assiette 1 I.a	AntiBon	ébréché
assiette 1 I.a	AntiBon	fêlé
assiette 1 I.a	Labreal12	manger V I.1a
assiette 1 I.a	Labreal12	disposer I
assiette 1 I.a	Labreal12	mettre I.1a
assiette 1 I.a	Labreal12	servir III.2
assis I.1a	S2	siège I.1
assis I.1a	S2	fauteuil I
assis I.1a	S2	chaise I
assis I.1a	Anti	debout I.a
assis I.1a	Bon	bien Adv 1
assis I.1a	Bon	confortablement
assis I.1a	Bon	comme dans un fauteuil I
assis I.1a	AntiBon	mal Adv I.1
assis I.1a	Pred	être V IV.2a
assis I.1a	Pred	se tenir III.1
assis I.1a	Pred	rester II
assis I.1a	Pred	asseoir I.a
assis I.1a	Pred	mettre I.1a
assis I.1a	Pred	s’asseoir I.a
assis I.1a	Pred	se mettre I
assis I.1a	V0	assis I.1a
assis I.1a	Syn	couché I.1a
assis I.1a	Pred	se remettre I
assis I.1a	Pred	remettre I.1
assis I.1a	Pred	se lever I.a
assister I	S0	assistance I
assister I	S1	assistante
assister I	S1	assistant
associer	S0	association II
assurer I	S0	assurance I
assurer I	Adv0	assurément
assurer I	Syn	affirmer
assurer I	Syn	garantir II
assurer I	Syn	le donner en mille
astuce II	Adv1	astucieusement
astuce II	A0	astucieux 2
astuce II	Able1	astucieux 1
atelier	Gener	local N
atroce	Adv0	atrocement
attacher 2	Syn	nouer
attaquer I.1	S0	attaque I.1
attaquer I.1	S1	attaquante I
attaquer I.1	S1	attaquant I
attaquer I.1	Able2	attaquable
attaquer I.1	Syn	atteindre II.1
atteindre IV.1	S0	atteinte I
atteindre IV.1	Able2	atteignable
atteindre IV.1	Syn	arriver I.1
atteindre IV.1	Syn	accéder I
atteindre IV.1	Syn	entrer I.1
attendre	S0	attente
attendre	Syn	patienter
attendrir II	Syn	émouvoir
attendrir II	A2	attendri 1
attendrissement II	V0	s’attendrir
attentat I	V0	attenter
attentat I	Oper1	commettre
attentat I	Oper1	perpétrer
