ls:fr:lf:888	$1=‘sportifs’
ls:fr:lf:997	S_instrFact_0
ls:fr:lf:63	S_loc
ls:fr:lf:984	S_loc^prototyp
ls:fr:lf:64	S_locIncepFunc_0
ls:fr:lf:65	S_locNonFact_0
ls:fr:lf:66	S_locFact_0
ls:fr:lf:458	S_locCausFunc_0
ls:fr:lf:928	S_loc^temp
ls:fr:lf:930	S_loc^tempFact_0
ls:fr:lf:971	S_locPred
ls:fr:lf:68	S_med
ls:fr:lf:1007	S_medFact_0
ls:fr:lf:372	S_mod
ls:fr:lf:69	S_res
ls:fr:lf:956	S_locS_res
ls:fr:lf:74	Sing
ls:fr:lf:680	Sing_⊂
ls:fr:lf:370	Sing_⊃
ls:fr:lf:503	Sing_∩
ls:fr:lf:986	Sing^prototyp
ls:fr:lf:78	Mero
ls:fr:lf:737	MeroSing
ls:fr:lf:100	Mult
ls:fr:lf:102	Mult_⊃
ls:fr:lf:368	Mult_⊂
ls:fr:lf:397	Mult_∩
ls:fr:lf:682	Holo
ls:fr:lf:875	IncepPredMult
ls:fr:lf:103	Cap
ls:fr:lf:975	PredCap
ls:fr:lf:396	Equip
ls:fr:lf:658	SingEquip
ls:fr:lf:104	A_1
ls:fr:lf:496	A_1’
ls:fr:lf:421	A_1⊂
ls:fr:lf:105	A_1⊃
ls:fr:lf:422	A_1∩
ls:fr:lf:339	A_1/2
ls:fr:lf:604	A_1/2⊂
ls:fr:lf:932	A_1/3
ls:fr:lf:358	A_1Perf
ls:fr:lf:360	A_1/2Perf
ls:fr:lf:408	Able_1
ls:fr:lf:649	Adv_1
ls:fr:lf:106	Magn
ls:fr:lf:583	Magn^quant
ls:fr:lf:765	AntiMagn
ls:fr:lf:418	Bon
ls:fr:lf:520	A_1Pred
ls:fr:lf:343	S_0A_1
ls:fr:lf:1004	A_1Oper_1
ls:fr:lf:1006	A_1/2Oper_1/2
ls:fr:lf:981	A_1Caus
ls:fr:lf:936	A_2Fact_1
ls:fr:lf:647	A_1NonFact_2
ls:fr:lf:648	Magn_2^quant
ls:fr:lf:107	A_2
ls:fr:lf:259	A_1Real_2
ls:fr:lf:330	A_2Perf
ls:fr:lf:495	A_2/3Perf
ls:fr:lf:611	A_2Manif
ls:fr:lf:650	Adv_2
ls:fr:lf:762	A_2/3
ls:fr:lf:848	A_2∩
ls:fr:lf:989	A_2Func_2
ls:fr:lf:451	Magn^quant
ls:fr:lf:995	A_2Func_1
ls:fr:lf:842	A_2Fact_2
ls:fr:lf:787	A_2Involv
ls:fr:lf:108	A_3
ls:fr:lf:777	A_3Perf
ls:fr:lf:627	A_4
ls:fr:lf:109	Able_1
ls:fr:lf:110	Able_2
ls:fr:lf:353	Able_3
ls:fr:lf:410	Able_4
ls:fr:lf:857	AntiAble_2
ls:fr:lf:950	Able_1/2
ls:fr:lf:953	Able_1[1]
ls:fr:lf:111	Able_2
ls:fr:lf:112	Able_3
ls:fr:lf:345	AntiAble_2
ls:fr:lf:412	Able_3
ls:fr:lf:409	Able_4
ls:fr:lf:113	Qual_1
ls:fr:lf:979	Qual_1[1]
ls:fr:lf:344	Qual_2
ls:fr:lf:929	Qual_3
ls:fr:lf:940	Germ
ls:fr:lf:776	Culm
ls:fr:lf:114	Magn_1^quant
ls:fr:lf:115	Magn_2^quant
ls:fr:lf:116	Magn_2
ls:fr:lf:119	Magn_effet
ls:fr:lf:120	Magn_hauteur
ls:fr:lf:123	Magn_taille
ls:fr:lf:124	Magn_vitesse
ls:fr:lf:125	Magn^temp
ls:fr:lf:126	Magn
ls:fr:lf:128	AntiBon
ls:fr:lf:427	Magn_comportement
ls:fr:lf:439	Magn_épaisseur
ls:fr:lf:440	Magn_largeur
ls:fr:lf:441	Magn_longueur
ls:fr:lf:464	AntiBon
ls:fr:lf:466	Bon
ls:fr:lf:507	Magn_puissance
ls:fr:lf:643	AntiBon
ls:fr:lf:764	Magn^quant
ls:fr:lf:770	AntiMagn^quant
ls:fr:lf:772	Magn_vitesse
ls:fr:lf:802	Bon
ls:fr:lf:132	IncepPredPlus
ls:fr:lf:133	CausPredPlus
ls:fr:lf:691	IncepPredPlus_taille
ls:fr:lf:137	AntiMagn^temp
ls:fr:lf:138	AntiMagn
ls:fr:lf:426	Bon
ls:fr:lf:442	AntiMagn_épaisseur
ls:fr:lf:443	AntiMagn_largeur
ls:fr:lf:444	AntiMagn_longueur
ls:fr:lf:445	AntiBon
ls:fr:lf:521	AntiMagn_1^quant
ls:fr:lf:522	AntiMagn_2^quant
ls:fr:lf:533	AntiMagn_vitesse
ls:fr:lf:534	AntiBon
ls:fr:lf:564	AntiMagn_hauteur
ls:fr:lf:653	AntiBon
ls:fr:lf:763	AntiMagn_puissance
ls:fr:lf:769	AntiMagn^quant
ls:fr:lf:797	AntiBon
ls:fr:lf:837	AntiMagn_taille
ls:fr:lf:139	IncepPredMinus
ls:fr:lf:140	CausPredMinus
ls:fr:lf:143	Ver_finalité
ls:fr:lf:145	Ver
ls:fr:lf:146	Bon
ls:fr:lf:148	CausPredVer
ls:fr:lf:638	ContPredVer
ls:fr:lf:665	AntiBon
ls:fr:lf:865	S_instrCausPredVer
ls:fr:lf:152	AntiVer_finalité
ls:fr:lf:155	AntiVer
ls:fr:lf:159	AntiBon
ls:fr:lf:712	AntiVer_utilisation
ls:fr:lf:757	CausPredAntiVer
ls:fr:lf:158	Bon
ls:fr:lf:880	Bon_∩
ls:fr:lf:970	Bon_2
ls:fr:lf:706	CausPredBon
ls:fr:lf:998	EnunPredBon
ls:fr:lf:160	AntiBon
ls:fr:lf:999	AntiBon_∩
ls:fr:lf:448	AntiBon_1
ls:fr:lf:925	AntiBon_2
ls:fr:lf:161	Adv_1
ls:fr:lf:162	Adv_2
ls:fr:lf:163	Instr
ls:fr:lf:164	Loc_in^temp
ls:fr:lf:165	Loc_in
ls:fr:lf:552	Loc_ad
ls:fr:lf:553	Loc_ab
ls:fr:lf:166	Propt
ls:fr:lf:400	Pred
ls:fr:lf:980	Magn
ls:fr:lf:419	IncepPred
ls:fr:lf:167	CausPred
ls:fr:lf:491	Caus_1/2Pred
ls:fr:lf:511	Caus_2Pred
ls:fr:lf:565	LiquPred
ls:fr:lf:710	Caus_1Pred
ls:fr:lf:844	ContPred
ls:fr:lf:852	Caus_1De_nouveauPred
ls:fr:lf:853	CausDe_nouveauPred
ls:fr:lf:855	Liqu_1Pred
ls:fr:lf:931	Conv_21Pred
ls:fr:lf:168	Oper_1
ls:fr:lf:170	Oper_12
ls:fr:lf:171	Oper_123
ls:fr:lf:738	Oper_1^usual
ls:fr:lf:183	Magn
ls:fr:lf:637	Magn^quant
ls:fr:lf:814	Magn^quant
ls:fr:lf:1012	AntiMagn
ls:fr:lf:174	NonOper_1
ls:fr:lf:175	IncepOper_1
ls:fr:lf:176	ContOper_1
ls:fr:lf:177	FinOper_1
ls:fr:lf:178	Caus_1Oper_1
ls:fr:lf:179	CausOper_1
ls:fr:lf:180	Liqu_1Oper_1
ls:fr:lf:181	LiquOper_1
ls:fr:lf:188	IncepOper_12
ls:fr:lf:189	De_nouveauOper_1
ls:fr:lf:398	Caus_2Oper_1
ls:fr:lf:497	Oper_1’
ls:fr:lf:501	Oper_1/2
ls:fr:lf:525	Oper_{1}
ls:fr:lf:542	S_1’Oper_1
ls:fr:lf:681	CausIncepOper_1
ls:fr:lf:703	CausFinOper_1
ls:fr:lf:821	Caus_1NonOper_1
ls:fr:lf:825	CausOper_12
ls:fr:lf:864	Oper_1[1]
ls:fr:lf:869	Caus_3Oper_1
ls:fr:lf:879	Prepar_@Oper_1
ls:fr:lf:916	EnunCausOper_1
ls:fr:lf:933	Oper_1/3
ls:fr:lf:965	IncepExcessOper_1
ls:fr:lf:190	Oper_2
ls:fr:lf:191	Oper_21
ls:fr:lf:192	Oper_23
ls:fr:lf:414	Magn
ls:fr:lf:436	IncepOper_2
ls:fr:lf:438	FinOper_2
ls:fr:lf:449	Caus_2Oper_2
ls:fr:lf:471	Oper_213
ls:fr:lf:729	ContOper_2
ls:fr:lf:761	Oper_2/3
ls:fr:lf:833	CausOper_2
ls:fr:lf:834	Caus_1Oper_2
ls:fr:lf:193	Oper_3
ls:fr:lf:194	Oper_31
ls:fr:lf:815	Oper_32
ls:fr:lf:902	Oper_41
ls:fr:lf:195	Func_0
ls:fr:lf:212	De_nouveauFunc_0
ls:fr:lf:196	IncepFunc_0
ls:fr:lf:199	CausContFunc_0
ls:fr:lf:200	ContFunc_0
ls:fr:lf:201	S_0FinFunc_0
ls:fr:lf:202	FinFunc_0
ls:fr:lf:203	Caus_1Func_0
ls:fr:lf:206	CausFunc_0
ls:fr:lf:211	CausDe_nouveauFunc_0
ls:fr:lf:455	S_1CausFunc_0
ls:fr:lf:532	S_1^usualCausFunc_0
ls:fr:lf:1018	S_medCausFunc_0
ls:fr:lf:478	Perm_2Func_0
ls:fr:lf:479	NonPerm_2Func_1
ls:fr:lf:1013	Magn
ls:fr:lf:722	VerCausFunc_0
ls:fr:lf:723	AntiVerCausFunc_0
ls:fr:lf:746	S_locFinFunc_0
ls:fr:lf:754	Caus_2Func_0
ls:fr:lf:755	S_0Caus_2Func_0
ls:fr:lf:783	ProxFunc_0
ls:fr:lf:784	Magn
ls:fr:lf:874	EnunIncepFunc_0
ls:fr:lf:909	EnunNonPermFunc_0
ls:fr:lf:911	NonPerm_1Func_0
ls:fr:lf:966	A_1NonPermFunc_0
ls:fr:lf:213	Func_1
ls:fr:lf:214	Func_1+2
ls:fr:lf:215	Func_12
ls:fr:lf:216	IncepFunc_1
ls:fr:lf:217	CausFunc_1
ls:fr:lf:218	Magn
ls:fr:lf:799	Caus_2Func_1
ls:fr:lf:822	LiquFunc_1
ls:fr:lf:823	Liqu_2Func_1
ls:fr:lf:988	Magn^quant
ls:fr:lf:219	Func_2
ls:fr:lf:220	Caus_1Func_2
ls:fr:lf:221	CausFunc_2
ls:fr:lf:389	Caus_2Func_2
ls:fr:lf:614	Func_23
ls:fr:lf:759	Magn
ls:fr:lf:992	IncepFunc_2
ls:fr:lf:824	IncepFunc_2
ls:fr:lf:826	LiquFunc_2
ls:fr:lf:222	Func_3
ls:fr:lf:960	PermFunc_3
ls:fr:lf:224	Labor_12
ls:fr:lf:1020	Magn^quant
ls:fr:lf:961	Labor_13
ls:fr:lf:225	Labor_21
ls:fr:lf:437	Caus_2Labor_21
ls:fr:lf:228	Real_1
ls:fr:lf:230	Real_12
ls:fr:lf:231	Real_13
ls:fr:lf:226	Real_1^I
ls:fr:lf:227	Real_1^II
ls:fr:lf:476	Real_1^III
ls:fr:lf:232	Real_1[1]
ls:fr:lf:793	Real_1[1]^I
ls:fr:lf:794	Real_1[1]^II
ls:fr:lf:236	AntiReal_1
ls:fr:lf:241	A_1Real_1
ls:fr:lf:237	A_1NonReal_1
ls:fr:lf:238	A_2NonReal_1
ls:fr:lf:239	S_0Real_1
ls:fr:lf:1022	S_0Real_1+2
ls:fr:lf:575	S_0Real_1^usual
ls:fr:lf:1021	S_0Real_1^I
ls:fr:lf:700	S_0Real_1^II
ls:fr:lf:243	S_0SingReal_1
ls:fr:lf:240	S_resReal_1
ls:fr:lf:244	AntiBonReal_1
ls:fr:lf:245	IncepReal_1
ls:fr:lf:247	Caus_1Real_1
ls:fr:lf:248	CausReal_1
ls:fr:lf:249	Liqu_1Real_1
ls:fr:lf:446	PreparReal_1
ls:fr:lf:1000	Perm_1Real_1
ls:fr:lf:463	Enun_1Real_1
ls:fr:lf:477	Real_1/2
ls:fr:lf:487	S_resCaus_1Real_1
ls:fr:lf:493	S_medReal_1
ls:fr:lf:506	Caus_1PlusReal_1
ls:fr:lf:515	Real_1^usual
ls:fr:lf:557	Prepar_1Real_1
ls:fr:lf:569	FinReal_1
ls:fr:lf:576	BonReal_1
ls:fr:lf:581	AntiVerReal_1
ls:fr:lf:586	A_2Real_1
ls:fr:lf:592	S_instrPreparReal_1
ls:fr:lf:623	PreparLiqu_1Real_1
ls:fr:lf:639	A_1AntiBonReal_1
ls:fr:lf:659	ContReal_1
ls:fr:lf:661	Magn
ls:fr:lf:672	AntiBonReal_1^usual
ls:fr:lf:686	PreparReal_1^I
ls:fr:lf:690	Magn_2^quant
ls:fr:lf:705	PreparReal_1^II
ls:fr:lf:715	PerfReal_1
ls:fr:lf:524	S_instrReal_1
ls:fr:lf:579	S_instrReal_1^I
ls:fr:lf:580	S_instrReal_1^II
ls:fr:lf:820	S_instrReal_1[1]
ls:fr:lf:1025	S_locReal_1
ls:fr:lf:559	S_locReal_1^III
ls:fr:lf:732	S_locReal_1^usual
ls:fr:lf:1024	S_loc^prototypReal_1
ls:fr:lf:968	S_loc^tempReal_1
ls:fr:lf:1023	S_loc^temp
ls:fr:lf:819	Liqu_1Real_1[1]
ls:fr:lf:891	A_1Magn^tempReal_1
ls:fr:lf:255	Real_2
ls:fr:lf:1017	Real_2.1
ls:fr:lf:1016	Real_2.2
ls:fr:lf:801	Real_2^usual
ls:fr:lf:927	BonReal_2
ls:fr:lf:251	Real_2^I
ls:fr:lf:252	Real_2^II
ls:fr:lf:254	Real_2^III
ls:fr:lf:253	Adv_1Real_2^III
ls:fr:lf:258	AntiReal_2
ls:fr:lf:303	S_0Real_2
ls:fr:lf:391	AntiReal_2^I
ls:fr:lf:561	Caus_1Real_2
ls:fr:lf:630	FinReal_2
ls:fr:lf:632	IncepReal_2
ls:fr:lf:718	Liqu_1Real_2
ls:fr:lf:796	Prepar_1Real_2
ls:fr:lf:266	Real_3
ls:fr:lf:1008	Real_3^I
ls:fr:lf:1009	Real_3^II
ls:fr:lf:1010	Real_3^III
ls:fr:lf:267	Real_31
ls:fr:lf:641	LiquReal_3
ls:fr:lf:983	A_1Real_3
ls:fr:lf:273	Real_4
ls:fr:lf:279	Real_@
ls:fr:lf:276	Real_@^I
ls:fr:lf:277	Real_@^II
ls:fr:lf:278	Real_@^III
ls:fr:lf:283	AntiReal_@
ls:fr:lf:543	AntiReal_@^III
ls:fr:lf:645	AntiBonReal_@
ls:fr:lf:789	Caus_1Real_@
ls:fr:lf:284	S_0Real_@
ls:fr:lf:285	S_1Real_@
ls:fr:lf:281	S_1Real_@^I/II
ls:fr:lf:286	S_resReal_@
ls:fr:lf:664	PreparReal_@
ls:fr:lf:730	A_1Real_@
ls:fr:lf:1027	Able_1Real_@
ls:fr:lf:696	Able_2Real_@
ls:fr:lf:526	AntiAble_2Real_@^II
ls:fr:lf:635	Magn^quant
ls:fr:lf:288	Fact_0
ls:fr:lf:619	Fact_0^I
ls:fr:lf:287	Fact_0^II
ls:fr:lf:292	S_resFact_0
ls:fr:lf:294	AntiBonFact_0
ls:fr:lf:295	IncepFact_0
ls:fr:lf:296	FinFact_0
ls:fr:lf:297	Liqu_1Fact_0
ls:fr:lf:298	LiquFact_0
ls:fr:lf:551	S_0Fact_0
ls:fr:lf:892	S_0AntiBonFact_0
ls:fr:lf:768	S_0IncepFact_0
ls:fr:lf:299	S_resPerfFact_0
ls:fr:lf:679	CausFact_0
ls:fr:lf:401	Caus_1Fact_0
ls:fr:lf:829	CausContFact_0
ls:fr:lf:402	Liqu_3Fact_0
ls:fr:lf:484	BonFact_0
ls:fr:lf:490	Caus_1MinusFact_0
ls:fr:lf:540	Caus_1De_nouveauFact_0
ls:fr:lf:541	S_1’Fact_0
ls:fr:lf:562	S_1CausFact_0
ls:fr:lf:567	PermFact_0
ls:fr:lf:616	Mult
ls:fr:lf:634	AntiBonA_1Fact_0
ls:fr:lf:982	CausAble_1Fact_0
ls:fr:lf:689	MagnFact_0
ls:fr:lf:713	S_0SingFact_0
ls:fr:lf:721	AntiFact_0
ls:fr:lf:767	NonFact_0
ls:fr:lf:788	ProxFact_0
ls:fr:lf:935	Caus_1PlusFact_0
ls:fr:lf:941	S_resFact_0^III
ls:fr:lf:942	AntiPermFact_0
ls:fr:lf:585	A_1Fact_0
ls:fr:lf:633	A_1NonFact_0
ls:fr:lf:943	Able_1Fact_0
ls:fr:lf:944	AntiAble_1Fact_0
ls:fr:lf:304	Fact_1
ls:fr:lf:550	AntiMagnFact_1
ls:fr:lf:489	AntiBonFact_1
ls:fr:lf:974	IncepFact_1
ls:fr:lf:544	CausFact_1
ls:fr:lf:1002	Caus_1Fact_1’
ls:fr:lf:603	LiquFact_1
ls:fr:lf:843	Liqu_3Fact_1
ls:fr:lf:795	PreparFact_1
ls:fr:lf:306	Fact_2
ls:fr:lf:472	Fact_2^I
ls:fr:lf:305	Fact_2^II
ls:fr:lf:687	Fact_2^usual
ls:fr:lf:1015	Magn_2^quant
ls:fr:lf:433	AntiBonFact_2
ls:fr:lf:556	AntiBonLiqu_1Fact_2
ls:fr:lf:613	Fact_2/3
ls:fr:lf:676	Fact_23
ls:fr:lf:684	S_0Fact_2
ls:fr:lf:990	Magn^quant
ls:fr:lf:699	S_resFact_2
ls:fr:lf:993	IncepFact_2
ls:fr:lf:994	IncepFact_2
ls:fr:lf:1003	CausFact_2
ls:fr:lf:724	Prepar_1Fact_2
ls:fr:lf:307	Fact_3
ls:fr:lf:308	Fact_@
ls:fr:lf:309	Labreal_12^II
ls:fr:lf:310	Labreal_12
ls:fr:lf:624	AntiLabreal_12
ls:fr:lf:714	Labreal_12^I
ls:fr:lf:740	Labreal_123
ls:fr:lf:741	S_0Labreal_12
ls:fr:lf:510	Labreal_13
ls:fr:lf:854	Labreal_1@
ls:fr:lf:312	Labreal_21
ls:fr:lf:858	Labreal_23
ls:fr:lf:381	Incep
ls:fr:lf:382	Cont
ls:fr:lf:383	Fin
ls:fr:lf:367	Caus
ls:fr:lf:1026	Caus_⊃
ls:fr:lf:363	Caus_1/2
ls:fr:lf:352	CausConv_21
ls:fr:lf:873	CausConv_231
ls:fr:lf:413	S_0Caus
ls:fr:lf:917	EnunCaus
ls:fr:lf:207	Liqu_1Func_0
ls:fr:lf:208	LiquFunc_0
ls:fr:lf:546	Liqu
ls:fr:lf:607	S_instrLiquFunc_0
ls:fr:lf:313	Involv
ls:fr:lf:314	Conv_21Involv
ls:fr:lf:315	S_resAntiBonInvolv
ls:fr:lf:316	AntiBonInvolv
ls:fr:lf:608	S_instrAntiBonInvolv
ls:fr:lf:654	Caus_1AntiBonInvolv
ls:fr:lf:719	Caus_1Involv
ls:fr:lf:782	NonConv_21Involv
ls:fr:lf:785	Adv_1AntiAble_2Involv
ls:fr:lf:786	AntiBon
ls:fr:lf:905	Manif
ls:fr:lf:964	S_2Manif
ls:fr:lf:973	IncepManif
ls:fr:lf:325	Prepar_1
ls:fr:lf:527	A_2PerfPrepar_1
ls:fr:lf:545	Prepar
ls:fr:lf:708	Prepar^I
ls:fr:lf:709	Prepar^II
ls:fr:lf:946	AntiPrepar
ls:fr:lf:326	Degrad
ls:fr:lf:876	CausDegrad
ls:fr:lf:1014	S_1CausDegrad
ls:fr:lf:327	Son
ls:fr:lf:328	S_0Son
ls:fr:lf:615	EnunSon
ls:fr:lf:384	Result_1
ls:fr:lf:385	Result_2
ls:fr:lf:734	Result_3
ls:fr:lf:677	CausObstr
